student;algo_type;PenID;Date;Time;TagID;BirdID;Zone;VideoAnalyse;Comment;next_was_missed;last_zone_longer_than_60sec;duration_MissedTransition;systemgantnerid;is_first_observation;useless_zone;signalstrength;zone2;signalstzone2;zone3;signalstrzone3;zone4;signalstrzone4;BatchID
Masha;cleaning;5;17.10.2020;12:10:13;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;10;4;9;1;4;3;3;
Masha;cleaning;5;17.10.2020;12:10:58;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;8;1;3;3;2;
Masha;cleaning;5;17.10.2020;12:11:24;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;10;4;9;1;4;0;0;
Masha;cleaning;5;17.10.2020;12:12:47;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;1;5;0;0;
Masha;cleaning;5;17.10.2020;12:18:54;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;9;1;4;0;0;0;0;
Masha;cleaning;5;17.10.2020;12:19:08;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;3;3;1;3;
Masha;cleaning;5;17.10.2020;12:19:43;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;9;3;3;0;0;
Masha;cleaning;5;17.10.2020;12:20:17;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;1;4;3;3;
Masha;cleaning;5;17.10.2020;12:22:25;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;10;4;9;1;4;0;0;
Masha;cleaning;5;17.10.2020;12:22:39;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;1;4;3;3;
Masha;cleaning;5;17.10.2020;12:25:50;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;10;4;9;1;5;3;3;
Masha;cleaning;5;17.10.2020;12:26:02;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;1;5;3;3;
Masha;cleaning;5;17.10.2020;12:26:18;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;9;1;5;3;3;
Masha;cleaning;5;17.10.2020;12:27:18;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;1;5;3;3;
Masha;cleaning;5;17.10.2020;12:27:40;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;9;1;5;3;3;
Masha;cleaning;5;17.10.2020;12:39:07;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;8;3;6;1;3;
Masha;cleaning;5;17.10.2020;12:42:33;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;8;3;6;1;4;0;0;
Masha;cleaning;5;17.10.2020;12:42:47;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;3;6;1;4;
Masha;cleaning;5;17.10.2020;12:43:31;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;10;4;9;3;6;1;4;
Masha;cleaning;5;17.10.2020;12:43:46;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;3;6;1;3;
Masha;cleaning;5;17.10.2020;12:44:27;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;9;3;6;1;3;
Masha;cleaning;5;17.10.2020;12:45:03;59;5ss;Tier 4 + obere Stange;1;jumped on the z4 floor (not on perch anymore) at 12:52:44;;;;1;;4;10;2;9;3;6;1;4;
Masha;cleaning;5;17.10.2020;13:31:01;59;5ss;Tier 2 + untere Stange;0;flickering,  jumped on obere stange  BG ;;;;1;;2;12;4;10;3;4;1;4;
Masha;cleaning;5;17.10.2020;13:31:18;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;3;5;1;5;
Masha;cleaning;5;17.10.2020;13:31:20;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;12;4;10;3;5;1;5;
Masha;cleaning;5;17.10.2020;13:32:33;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;11;2;9;1;5;3;4;
Masha;cleaning;5;17.10.2020;13:33:16;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;10;3;5;1;5;
Masha;cleaning;5;17.10.2020;13:33:23;59;5ss;Tier 4 + obere Stange;1;jumped on the z4 floor (not on perch anymore) ;;;;1;;4;17;2;12;3;5;1;5;
Masha;cleaning;5;17.10.2020;13:53:55;59;5ss;Tier 2 + untere Stange;0;flickering,  jumped on obere stange  BG ;;;;1;;2;11;4;10;3;5;1;5;
Masha;cleaning;5;17.10.2020;13:55:04;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;8;3;5;1;5;
Masha;cleaning;5;17.10.2020;13:55:49;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;10;3;5;1;5;
Masha;cleaning;5;17.10.2020;13:57:21;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;11;2;10;1;5;3;4;
Masha;cleaning;5;17.10.2020;14:02:44;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;10;1;5;3;5;
Masha;cleaning;5;17.10.2020;14:03:04;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;7;1;5;3;5;
Masha;cleaning;5;17.10.2020;14:04:17;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;9;1;4;3;3;0;0;
Masha;cleaning;5;17.10.2020;14:04:21;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;9;2;7;1;5;3;3;
Masha;cleaning;5;17.10.2020;14:04:28;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;12;4;10;1;5;3;5;
Masha;cleaning;5;17.10.2020;14:05:00;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;6;3;5;1;4;
Masha;cleaning;5;17.10.2020;14:05:45;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;10;1;5;3;5;
Masha;cleaning;5;17.10.2020;14:06:34;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;1;5;3;4;
Masha;cleaning;5;17.10.2020;14:06:45;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;10;3;5;1;5;
Masha;cleaning;5;17.10.2020;14:07:38;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;8;1;5;3;5;
Masha;cleaning;5;17.10.2020;14:07:45;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;10;3;5;1;5;
Masha;cleaning;5;17.10.2020;14:07:58;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;3;5;1;5;
Masha;cleaning;5;17.10.2020;14:08:15;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;12;4;9;1;5;3;5;
Masha;cleaning;5;17.10.2020;14:12:44;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;3;5;1;5;
Masha;cleaning;5;17.10.2020;14:12:58;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;9;3;5;1;4;
Masha;cleaning;5;17.10.2020;14:13:09;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;3;5;1;5;
Masha;cleaning;5;17.10.2020;14:13:14;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;10;4;9;3;5;1;4;
Masha;cleaning;5;17.10.2020;14:13:30;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;3;5;1;4;
Masha;cleaning;5;17.10.2020;14:13:43;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;12;4;11;3;5;1;4;
Masha;cleaning;5;17.10.2020;14:22:27;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;11;2;9;3;5;1;5;
Masha;cleaning;5;17.10.2020;14:22:39;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;8;3;6;1;5;0;0;
Masha;cleaning;5;17.10.2020;14:22:45;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;3;5;1;5;
Masha;cleaning;5;17.10.2020;14:23:16;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;10;4;9;3;5;1;5;
Masha;cleaning;5;17.10.2020;14:23:48;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;3;5;1;5;
Masha;cleaning;5;17.10.2020;14:23:59;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;9;1;5;3;5;
Masha;cleaning;5;17.10.2020;14:24:14;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;11;2;8;1;5;3;5;
Masha;cleaning;5;17.10.2020;14:24:37;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;9;3;5;1;4;
Masha;cleaning;5;17.10.2020;14:25:58;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;3;5;1;4;
Masha;cleaning;5;17.10.2020;14:26:10;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;10;3;5;1;4;
Masha;cleaning;5;17.10.2020;14:26:57;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;1;4;3;3;
Masha;cleaning;5;17.10.2020;14:28:59;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;9;3;5;1;5;
Masha;cleaning;5;17.10.2020;14:29:50;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;1;5;3;5;
Masha;cleaning;5;17.10.2020;14:30:01;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;10;4;9;1;5;3;5;
Masha;cleaning;5;17.10.2020;14:32:14;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;9;2;7;1;4;3;3;
Masha;cleaning;5;17.10.2020;14:32:35;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;8;1;4;3;3;
Masha;cleaning;5;17.10.2020;14:32:55;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;3;5;1;5;
Masha;cleaning;5;17.10.2020;14:32:59;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;10;3;5;1;5;
Masha;cleaning;5;17.10.2020;14:33:07;59;5ss;Tier 1;1;;;;;1;;1;17;2;11;4;9;3;5;
Masha;cleaning;5;17.10.2020;14:33:30;59;5ss;Tier 2 + untere Stange;1;;;;;1;;2;17;3;8;1;8;4;6;
Masha;cleaning;5;17.10.2020;14:33:56;59;5ss;Tier 4 + obere Stange;1;jumped directly to z4 from z2;;;;1;;4;18;2;10;3;5;1;4;
Masha;cleaning;5;17.10.2020;14:52:27;59;5ss;Tier 2 + untere Stange;0;flickering,  jumped on obere stange  BG ;;;;1;;2;10;4;9;1;5;3;4;
Masha;cleaning;5;17.10.2020;14:53:27;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;3;5;1;4;
Masha;cleaning;5;17.10.2020;14:53:30;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;10;3;5;1;4;
Masha;cleaning;5;17.10.2020;14:55:11;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;11;2;9;3;5;1;4;
Masha;cleaning;5;17.10.2020;14:55:32;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;9;3;4;1;4;
Masha;cleaning;5;17.10.2020;14:55:42;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;3;4;1;4;
Masha;cleaning;5;17.10.2020;14:55:51;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;10;3;4;1;3;
Masha;cleaning;5;17.10.2020;15:03:43;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;1;5;3;4;
Masha;cleaning;5;17.10.2020;15:03:52;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;10;4;9;1;5;3;4;
Masha;cleaning;5;17.10.2020;15:03:58;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;9;2;8;1;5;3;4;
Masha;cleaning;5;17.10.2020;15:04:06;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;9;3;5;1;5;
Masha;cleaning;5;17.10.2020;15:10:40;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;8;3;5;1;5;
Masha;cleaning;5;17.10.2020;15:11:06;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;9;3;4;1;4;
Masha;cleaning;5;17.10.2020;15:13:15;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;9;3;5;1;5;0;0;
Masha;cleaning;5;17.10.2020;15:13:47;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;10;3;5;1;4;
Masha;cleaning;5;17.10.2020;15:14:24;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;1;4;3;4;
Masha;cleaning;5;17.10.2020;15:15:30;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;9;1;5;3;4;
Masha;cleaning;5;17.10.2020;15:18:00;59;5ss;Tier 4 + obere Stange;1;jumped on the z4 floor (not on perch anymore) ;;;;1;;4;19;2;10;1;4;3;3;
Masha;cleaning;5;17.10.2020;16:15:31;59;5ss;Tier 2 + untere Stange;0;flickering,  jumped on obere stange  BG at 16:14:33;;;;1;;2;8;3;5;1;4;0;0;
Masha;cleaning;5;17.10.2020;16:15:35;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;11;2;8;1;5;3;5;
Masha;cleaning;5;17.10.2020;16:15:43;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;12;4;10;3;5;1;5;
Masha;cleaning;5;17.10.2020;16:17:41;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;1;5;3;4;
Masha;cleaning;5;17.10.2020;16:18:05;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;10;3;5;1;5;
Masha;cleaning;5;17.10.2020;16:18:27;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;10;2;9;1;5;3;5;
Masha;cleaning;5;17.10.2020;16:18:38;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;9;3;5;1;5;
Masha;cleaning;5;17.10.2020;16:19:37;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;11;2;9;1;5;3;3;
Masha;cleaning;5;17.10.2020;16:19:52;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;10;3;5;1;4;
Masha;cleaning;5;17.10.2020;16:20:52;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;11;2;9;1;5;3;4;
Masha;cleaning;5;17.10.2020;16:21:44;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;11;4;10;3;5;1;5;
Masha;cleaning;5;17.10.2020;16:23:13;59;5ss;Tier 4 + obere Stange;1;;;;;1;;4;11;2;9;1;5;3;5;
Masha;cleaning;5;17.10.2020;16:24:03;59;5ss;Tier 2 + untere Stange;0;flickering, obere stange  BG (just above/ in front of z3);;;;1;;2;12;4;10;1;5;3;4;
